激活码ID,奖励ID数组,领取次数上限,开始日期,结束日期,礼包说明,互斥礼包
1,40221;40222;40223,1,2015-1-6,2085-1-6,1-平台奖励：30血钻，1饭团，1煎饺,
2,40224,1,2015-1-6,2085-1-6,2-预留奖励血钻：50,
3,40225,1,2015-1-6,2085-1-6,3-预留奖励血钻：80,
4,40228,1,2015-1-6,2085-1-6,4-预留奖励血钻：300,
5,40229,1,2015-1-6,2085-1-6,5-预留奖励血钻：400,
6,40230,1,2015-1-6,2085-1-6,6-预留奖励血钻：500,
7,40231,1,2015-1-6,2085-1-6,7-预留奖励血钻：600,
8,40232,1,2015-1-6,2085-1-6,8-预留奖励血钻：700,
9,40233,1,2015-1-6,2085-1-6,9-预留奖励血钻：800,
10,40234,1,2015-1-6,2085-1-6,10-预留奖励血钻：1000,
11,40226,1,2015-1-6,2085-1-6,11-预留奖励血钻：100,
12,40226,1,2015-1-6,2085-1-6,12-预留奖励血钻：100,
13,40226,1,2015-1-6,2085-1-6,13-预留奖励血钻：100,
14,40226,1,2015-1-6,2085-1-6,14-预留奖励血钻：100,
15,40226,1,2015-1-6,2085-1-6,15-预留奖励血钻：100,
16,40226,1,2015-1-6,2085-1-6,16-预留奖励血钻：100,
17,40226,1,2015-1-6,2085-1-6,17-预留奖励血钻：100,
18,40226,1,2015-1-6,2085-1-6,18-预留奖励血钻：100,
19,40226,1,2015-1-6,2085-1-6,19-预留奖励血钻：100,
20,40226,1,2015-1-6,2085-1-6,20-预留奖励血钻：100,
21,40226,1,2015-1-6,2085-1-6,21-预留奖励血钻：100,
22,40226,1,2015-1-6,2085-1-6,22-预留奖励血钻：100,
23,40226,1,2015-1-6,2085-1-6,23-预留奖励血钻：100,
24,40226,1,2015-1-6,2085-1-6,24-预留奖励血钻：100,
25,40227,1,2015-1-6,2085-1-6,25-预留奖励血钻：200,
26,40227,1,2015-1-6,2085-1-6,26-预留奖励血钻：200,
27,40227,1,2015-1-6,2085-1-6,27-预留奖励血钻：200,
28,40230,1,2015-1-6,2085-1-6,28-预留奖励血钻：500,
29,40230,1,2015-1-6,2085-1-6,29-预留奖励血钻：500,
30,40230,1,2015-1-6,2085-1-6,30-预留奖励血钻：500,
31,40230,1,2015-1-6,2085-1-6,31-预留奖励血钻：500,
32,40234,1,2015-1-6,2085-1-6,32-预留奖励血钻：1000,
33,40234,1,2015-1-6,2085-1-6,33-预留奖励血钻：1000,
34,40234,1,2015-1-6,2085-1-6,34-预留奖励血钻：1000,
35,40234,1,2015-1-6,2085-1-6,35-预留奖励血钻：1000,
36,101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158,0,2015-1-6,2085-1-6,36-2015.01.22新增58个武将,
37,40221;40222;40223,1,2015-1-6,2085-1-6,37-平台奖励：30血钻，1饭团，1煎饺,
38,40235;40236;40237;40238,1,2015-1-6,2015-12-31,小米删档新手礼包：血钻120；蓝色英雄随机包；神力矿工包*1；雷管*1,
39,40239;40240;40241;40242,1,2015-1-6,2015-12-31,小米删档至尊礼包：血钻200；金币50000；巨魔雕像*1；糯米饭团*1,
40,40243;40257;40271;40280;40284;40288,1,2015-1-6,2015-12-31,微信专属礼包,
41,40244;40258;40272;40281;40285;40289,1,2015-1-6,2015-12-31,微博专属礼包,
42,40245;40259;40273;40282;40286,1,2015-1-6,2015-12-31,18183独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
