关卡ID,关卡名称,宝箱需要时间,每秒产出金币,每秒产出经验,需要战力,怪物模型队列,宝箱奖励ID队列,宝箱奖励权重队列,加速宝箱奖励ID队列,加速宝箱奖励权重队列,事件ID队列,图标ID,Layer1,Layer2,Layer3,Layer4,背景顶部颜色,背景底部颜色,装饰物ID_1,装饰物ID_2,装饰物ID_3,装饰物ID_4,场景ID,关卡描述,事件总时间
1,苏醒之荒原,60,1,1,230,1044;1047;1093,42401;42402;42403;42408;42409;42410;42531;42530;42513;41401;41402;41403;40401;40402;40403;40404,69;69;69;350;350;350;5000;5000;2500;1208;1208;1208;8154;8154;8154;8154,42401;42402;42403;42408;42409;42410;42531;42530;42513;41401;41402;41403;40401;40402;40403;40404,208;208;208;350;350;350;5000;5000;2500;1208;1208;1208;8154;8154;8154;8154,1;2;3,3030,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3030,苏醒之荒原描述内容,41
2,魔铁山脉,60,2,2,300,1044;1047;1093,42401;42402;42403;42408;42409;42410;42531;42530;42523;42513;41403;41404;41405;41406;40403;40404;40405;40406,69;69;69;350;350;350;3000;3000;3000;1500;956;956;956;956;8604;8604;8604;8604,42401;42402;42403;42408;42409;42410;42531;42530;42523;42513;41403;41404;41405;41406;40403;40404;40405;40406,208;208;208;350;350;350;3000;3000;3000;1500;956;956;956;956;8604;8604;8604;8604,4;5;6,3020,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3020,魔铁山脉描述内容,42
3,北部森林,60,3,3,400,1089;1087;1093,42401;42402;42403;42404;42405;42406;42408;42409;42410;42531;42530;42523;42501;42513;41405;41406;41407;41408;41409;40405;40406;40407;40408;40409,69;69;69;500;500;500;350;350;350;2125;2125;2125;2125;1062;753;753;753;753;753;6782;6782;6782;6782;6782,42401;42402;42403;42404;42405;42406;42408;42409;42410;42531;42530;42523;42501;42513;41405;41406;41407;41408;41409;40405;40406;40407;40408;40409,208;208;208;500;500;500;350;350;350;2125;2125;2125;2125;1062;753;753;753;753;753;6782;6782;6782;6782;6782,7;8;9,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3070,北部森林描述内容,42
4,小杰村,60,4,4,550,1089;1047;1093,42401;42402;42403;42404;42405;42406;42408;42409;42410;42530;42523;42501;42502;42513;41407;41408;41409;41410;41411;41412;40407;40408;40409;40410;40411;40412,69;69;69;500;500;500;350;350;350;1875;1875;1875;1875;937;646;646;646;646;646;646;5820;5820;5820;5820;5820;5820,42401;42402;42403;42404;42405;42406;42408;42409;42410;42530;42523;42501;42502;42513;41407;41408;41409;41410;41411;41412;40407;40408;40409;40410;40411;40412,208;208;208;500;500;500;350;350;350;1875;1875;1875;1875;937;646;646;646;646;646;646;5820;5820;5820;5820;5820;5820,10;11;12,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,小杰村描述内容,70
5,荒废遗迹,60,5,6,800,1074;1076;2035,42401;42402;42403;42408;42409;42410;42530;42523;42501;42502;42513;41409;41410;41411;41412;41413;41414;41415;40409;40410;40411;40412;40413;40414;40415,69;69;69;350;350;350;1875;1875;1875;1875;937;575;575;575;575;575;575;575;5181;5181;5181;5181;5181;5181;5181,42401;42402;42403;42408;42409;42410;42530;42523;42501;42502;42513;41409;41410;41411;41412;41413;41414;41415;40409;40410;40411;40412;40413;40414;40415,208;208;208;350;350;350;1875;1875;1875;1875;937;575;575;575;575;575;575;575;5181;5181;5181;5181;5181;5181;5181,13;14;15,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,荒废遗迹描述内容,70
6,遗迹深处,60,6,7,1200,1041;1042,42401;42402;42403;42408;42409;42410;42530;42513;41411;41412;41413;41414;41415;41416;41417;41418;40411;40412;40413;40414;40415;40416;40417;40418,69;69;69;350;350;350;45000;300;43;43;43;43;43;43;43;43;387;387;387;387;387;387;387;387,42401;42402;42403;42408;42409;42410;42530;42513;41411;41412;41413;41414;41415;41416;41417;41418;40411;40412;40413;40414;40415;40416;40417;40418,208;208;208;350;350;350;45000;300;43;43;43;43;43;43;43;43;387;387;387;387;387;387;387;387,16;17;18,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,遗迹深处描述内容,70
7,遗迹密道,120,8,8,1300,1041;1042;1049,42401;42402;42403;42408;42409;42410;42523;42501;42502;42503;42504;42505;42513;41413;41414;41415;41416;41417;41418;41419;41420;41421;40413;40414;40415;40416;40417;40418;40419;40420;40421,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;436;436;436;436;436;436;436;436;436;3930;3930;3930;3930;3930;3930;3930;3930;3930,42401;42402;42403;42408;42409;42410;42523;42501;42502;42503;42504;42505;42513;41413;41414;41415;41416;41417;41418;41419;41420;41421;40413;40414;40415;40416;40417;40418;40419;40420;40421,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;436;436;436;436;436;436;436;436;436;3930;3930;3930;3930;3930;3930;3930;3930;3930,19;20;21,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,遗迹密道描述内容,150
8,永恒神殿,120,9,9,1500,1041;1042;1049,42401;42402;42403;42408;42409;42410;42523;42501;42502;42503;42504;42505;42513;41415;41416;41417;41418;41419;41420;41421;41422;41423;41424;40415;40416;40417;40418;40419;40420;40421;40422;40423;40424,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;393;393;393;393;393;393;393;393;393;393;3537;3537;3537;3537;3537;3537;3537;3537;3537;3537,42401;42402;42403;42408;42409;42410;42523;42501;42502;42503;42504;42505;42513;41415;41416;41417;41418;41419;41420;41421;41422;41423;41424;40415;40416;40417;40418;40419;40420;40421;40422;40423;40424,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;393;393;393;393;393;393;393;393;393;393;3537;3537;3537;3537;3537;3537;3537;3537;3537;3537,22;23;24,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,永恒神殿描述内容,150
9,兰沃村,120,10,10,1800,1085;1091;1089,42401;42402;42403;42408;42409;42410;42523;42501;42502;42503;42504;42505;42513;41417;41418;41419;41420;41421;41422;41423;41424;41425;41426;41427;40417;40418;40419;40420;40421;40422;40423;40424;40425;40426;40427,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;357;357;357;357;357;357;357;357;357;357;357;3216;3216;3216;3216;3216;3216;3216;3216;3216;3216;3216,42401;42402;42403;42408;42409;42410;42523;42501;42502;42503;42504;42505;42513;41417;41418;41419;41420;41421;41422;41423;41424;41425;41426;41427;40417;40418;40419;40420;40421;40422;40423;40424;40425;40426;40427,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;357;357;357;357;357;357;357;357;357;357;357;3216;3216;3216;3216;3216;3216;3216;3216;3216;3216;3216,25;26;27,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,兰沃村描述内容,150
10,兰沃旧街,120,12,16,2600,1081;1076;1089,42401;42402;42403;42408;42409;42410;42501;42502;42503;42504;42505;42540;42513;41419;41420;41421;41422;41423;41424;41425;41426;41427;41428;41429;41430;40419;40420;40421;40422;40423;40424;40425;40426;40427;40428;40429;40430,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;327;327;327;327;327;327;327;327;327;327;327;327;2948;2948;2948;2948;2948;2948;2948;2948;2948;2948;2948;2948,42401;42402;42403;42408;42409;42410;42501;42502;42503;42504;42505;42540;42513;41419;41420;41421;41422;41423;41424;41425;41426;41427;41428;41429;41430;40419;40420;40421;40422;40423;40424;40425;40426;40427;40428;40429;40430,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;327;327;327;327;327;327;327;327;327;327;327;327;2948;2948;2948;2948;2948;2948;2948;2948;2948;2948;2948;2948,28;29;30,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,兰沃旧街描述内容,150
