事件ID,Type,NPC模型,Title,描述,饱足度消耗,消耗物品,消耗资源,消耗数量,奖励ID队列,事件需要时间,通关公告描述,最大通关通知人数
1,1,1103,命运的召唤,我想你就是传说中的勇者，为了寻找世界的未来而来到这里。试试你的身手吧。如果你无法通过考验，命运就不会选择你。,0,0,0,5001,50201;50587,7,,0
2,1,1106,被围困的村民,不远处有一个人影，她正被狼群攻击。天哪！看样子她需要帮助。,0,0,0,5002,50578;50202,16,,0
3,4,1106,贤者的指引,我叫阿曼达，贤者指引我在此等待，但我刚才差点成了猎物。谢谢你救了我。,0,0,0,0,50563;50203,18,,0
4,1,1083,史莱姆袭击,不好！一群史莱姆正冲向你，是否要一战呢？,0,0,0,5004,50204,8,,0
5,4,1106,发现矿洞,向前走就可以发现一个洞穴。阿曼达示意该过去看看。,1200,0,0,0,50205;50561,16,,0
6,3,1103,神秘的老者,矿洞尽头一个老头挡住了去路。给我一块铜矿，我就告诉你前进的路（铜矿可挖矿得到）,1200,0,101,1,50206,18,,0
7,1,1022,山林中的战斗,在丛林的小道上，你看见一群精灵正在追赶一个落单的人影，也许你该帮帮她？,1200,0,0,5007,50207,8,,0
8,0,1089,长途跋涉,继续前行，迎面是一眼望不到边的浩瀚林海。,1200,0,0,0,50200;50208,16,,0
9,0,1096,穿越林海,依旧是连绵不绝的林海，仿佛永远无法穿越，你展开地图，道标显示村子应该就在不远处。,1200,0,0,0,50200;50209,18,,0
10,1,1049,酒吧闹事,酒吧里，一群烂醉的混混把酒倒在吟游诗人的头上，并勒索金币。也许你该去阻止那些混蛋。,1200,0,0,5010,50210,15,,0
11,4,1106,冒险者公会,这样的小村庄竟然也有冒险者公会的分号，我建议你去注册，那里能招募更多的佣兵。,1200,0,0,0,50580;50211,25,,0
12,3,1047,爱心蛋包饭,一家名为【阿苏斯】的饭店挂出了2份咖喱饭只需要1000金币的招牌。似乎非常划算呢。（冒险可获得金币）,1200,0,1,1000,50585;50212,30,,0
13,1,1087,废墟史莱姆I,一群黏糊糊的怪物散发着恶臭，似乎已经包围你了。,1200,0,0,5013,50213,15,,0
14,1,1087,废墟史莱姆II,又一群剧毒史莱姆包围了你。他们身体里有许多垃圾，比如短剑，破头盔……看到这里你觉得又要战斗了。,1200,0,0,5014,50214,25,,0
15,1,1087,废墟史莱姆III,你似乎找到了通往废墟深处的入口，但又一群剧毒史莱姆挡住了去路，真是没完没了。,1200,0,0,5015,50583;50215,30,,0
16,0,1052,遇难的冒险者,你发现了一具尸体，似乎是一个装备精良的冒险者。背部有一道恐怖的伤口几乎将他劈成两半。,1200,0,0,0,50565;50216,15,,0
17,1,3108,遗迹魔物,黑暗中你似乎听到了一些诡异的声响，你借着光线向前探索，一个庞然大物出现在你面前。,1200,0,0,5017,50217,25,,0
18,2,1052,新的考验,你终于来了，我等了你3000年。只有你才能弥补我犯下的错误。,1200,1204,0,1,50218,30,,0
19,1,1076,时空乱流,时空乱流中闪出一些影魔，这是在邪恶位面中强大的怪物，它们正在围攻什么人。,1200,0,0,5019,50219,30,,0
20,1,2014,路西法,是你在召唤邪恶的存在？！看来我们难免一战！,1200,0,0,5020,50586;50220,60,,0
21,4,1166,光之使者,你战胜了堕落的天使！多么强大的存在啊，看来救赎这个位面也并非不可能。,1200,0,0,0,50221,60,,0
22,4,1008,威严的老者,谢谢你的到来，这会是一场混乱的冒险，请允许我传授你一些必备的知识。,1200,0,0,0,50222,30,,0
23,1,1114,东方古代书生,一位来自东方古老大陆上的书生走出了神殿中的传送门。,1200,0,0,5023,50223,60,,0
24,1,1162,美丽的女鬼,谁胆敢欺负我的男人！一位美丽的古装女鬼闯出传送门，你感到头都大了一圈。,1200,0,0,5024,50224,60,,0
25,0,1052,遇难的冒险者,在村空你发现了一具尸体，似乎是一个装备精良的冒险者。背部有一道恐怖的伤口几乎将他劈成两半。,1200,0,0,0,50566;50225,30,,0
26,1,3108,遗迹魔物,黑暗中你似乎听到了一些诡异的声响，你借着光线向前探索，一个庞然大物出现在你面前。,1200,0,0,5026,50574;50226,60,,0
27,4,1052,新的考验,你终于来了，我等了你3000年。只有你才能弥补我犯下的错误。,1200,0,0,0,50227,60,,0
28,1,1076,时空乱流,时空乱流中闪出一些影魔，这是在邪恶位面中强大的怪物，它们正在围攻什么人。,1200,0,0,5028,50228,30,,0
29,1,2031,魔神撒旦,是谁？胆敢召唤我！魔神撒旦穿过时空裂缝来到你的面前。,1200,0,0,5029,50229,60,第10关守卫【魔神撒旦】的,20
30,4,1166,光之使者,你战胜了魔神撒旦！多么强大的存在啊，看来救赎这个位面也并非不可能。,1200,0,0,0,50230,60,,0
31,4,1008,威严的老者,谢谢你的到来，这会是一场混乱的冒险，请允许我传授你一些必备的知识。,1200,0,0,0,50562;50231,30,,0
32,1,2003,貂蝉,一位美貌的古装女子气势汹汹地跨出神殿中的传送门。,1200,0,0,5032,50232,60,,0
33,1,2008,吕布,谁胆敢欺负我的女人，一位古代将军装束的壮汉闯出传送门，你感到头都大了一圈。,1200,0,0,5033,50233,60,,0
34,1,1085,森林魔花,寂静的森林充满着诡异的氛围，果然，刚踏入森林不就一簇食人花便悄悄地向你袭来。,1200,0,0,5034,50234,30,,0
