菜单id,菜单名称,状态,引导图标id,解锁条件描述,开启关卡,开启事件
1,神殿,0,2601,在神殿可以用荣誉碎片兑换厉害的佣兵。花费金币可解锁。,0,0
2,商会,0,2602,花费金币可解锁商会。完成商会订单可以获得各种奖励。,0,0
3,工坊,0,2603,在第23关冒险可开启工坊,23,1
4,挖矿,0,2604,在第2关冒险可开启挖矿,2,1
5,招募,0,2605,在第4关冒险可开启招募,4,1
6,基地,1,2606,默认开启,0,0
7,竞技场,0,2607,在第8关冒险可开启竞技场,8,1
8,商店,1,2608,默认开启,0,0
9,觉醒,0,2609,在第16关冒险可开启觉醒功能,16,0
10,装备强化,0,2610,在第2关冒险可开启装备强化,2,1
11,神器,1,2611,默认开启,0,0
12,解雇佣兵,0,2612,在第12关冒险可开启解雇佣兵功能,12,2
13,调整顺序和排序,0,2613,在第7关冒险可开启调整顺序和排序功能,7,1
14,封神之阶,0,2614,在第18关冒险可开启封神之阶,18,1
15,贸易队,0,2615,在第20关冒险可开启贸易队,20,0
16,秘境模式,0,2616,在第30关冒险可开启秘境模式,30,2
