事件ID,类型,标题,描述,NPC模型,饱足度消耗,消耗物品,消耗资源,目标值
12345,1,绝灭,秘境守卫出现了！,3006,6000,0,0,12345
12346,1,绝灭,黑暗降临了，一个新的邪恶生物出现在大地上！,3006,6000,0,0,12346
12347,1,绝灭,秘境守卫出现了！,3006,6000,0,0,12347
12348,1,绝灭,黑暗降临了，一个新的邪恶生物出现在大地上！,3006,6000,0,0,12348
12349,1,绝灭,秘境守卫出现了！,3006,6000,0,0,12349
12350,1,奥拉什,秘境守卫出现了！,3003,6000,0,0,12350
12351,1,奥拉什,黑暗降临了，一个新的邪恶生物出现在大地上！,3003,6000,0,0,12351
12352,1,奥拉什,秘境守卫出现了！,3003,6000,0,0,12352
12353,1,奥拉什,黑暗降临了，一个新的邪恶生物出现在大地上！,3003,6000,0,0,12353
12354,1,奥拉什,秘境守卫出现了！,3003,6000,0,0,12354
12355,1,急冻魔,秘境守卫出现了！,3105,6000,0,0,12355
12356,1,急冻魔,黑暗降临了，一个新的邪恶生物出现在大地上！,3105,6000,0,0,12356
12357,1,急冻魔,秘境守卫出现了！,3105,6000,0,0,12357
12358,1,急冻魔,黑暗降临了，一个新的邪恶生物出现在大地上！,3105,6000,0,0,12358
12359,1,急冻魔,秘境守卫出现了！,3105,6000,0,0,12359
12360,1,塑沙者,秘境守卫出现了！,1067,6000,0,0,12360
12361,1,塑沙者,黑暗降临了，一个新的邪恶生物出现在大地上！,1067,6000,0,0,12361
12362,1,塑沙者,秘境守卫出现了！,1067,6000,0,0,12362
12363,1,塑沙者,黑暗降临了，一个新的邪恶生物出现在大地上！,1067,6000,0,0,12363
12364,1,塑沙者,秘境守卫出现了！,1067,6000,0,0,12364
12365,1,缠丝女魔,秘境守卫出现了！,3107,6000,0,0,12365
12366,1,缠丝女魔,黑暗降临了，一个新的邪恶生物出现在大地上！,3107,6000,0,0,12366
12367,1,缠丝女魔,秘境守卫出现了！,3107,6000,0,0,12367
12368,1,缠丝女魔,黑暗降临了，一个新的邪恶生物出现在大地上！,3107,6000,0,0,12368
12369,1,缠丝女魔,秘境守卫出现了！,3107,6000,0,0,12369
12370,1,贪食魔,秘境守卫出现了！,3108,6000,0,0,12370
12371,1,贪食魔,黑暗降临了，一个新的邪恶生物出现在大地上！,3108,6000,0,0,12371
12372,1,贪食魔,秘境守卫出现了！,3108,6000,0,0,12372
12373,1,贪食魔,黑暗降临了，一个新的邪恶生物出现在大地上！,3108,6000,0,0,12373
12374,1,贪食魔,秘境守卫出现了！,3108,6000,0,0,12374
12375,1,佩伦迪,秘境守卫出现了！,3102,6000,0,0,12375
12376,1,佩伦迪,黑暗降临了，一个新的邪恶生物出现在大地上！,3102,6000,0,0,12376
12377,1,佩伦迪,秘境守卫出现了！,3102,6000,0,0,12377
12378,1,佩伦迪,黑暗降临了，一个新的邪恶生物出现在大地上！,3102,6000,0,0,12378
12379,1,佩伦迪,秘境守卫出现了！,3102,6000,0,0,12379
12380,1,白骨术士,秘境守卫出现了！,2243,6000,0,0,12380
12381,1,白骨术士,黑暗降临了，一个新的邪恶生物出现在大地上！,2243,6000,0,0,12381
12382,1,白骨术士,秘境守卫出现了！,2243,6000,0,0,12382
12383,1,白骨术士,黑暗降临了，一个新的邪恶生物出现在大地上！,2243,6000,0,0,12383
12384,1,白骨术士,秘境守卫出现了！,2243,6000,0,0,12384
12385,1,狂屠,秘境守卫出现了！,3108,6000,0,0,12385
12386,1,狂屠,黑暗降临了，一个新的邪恶生物出现在大地上！,3108,6000,0,0,12386
12387,1,狂屠,秘境守卫出现了！,3108,6000,0,0,12387
12388,1,狂屠,黑暗降临了，一个新的邪恶生物出现在大地上！,3108,6000,0,0,12388
12389,1,狂屠,秘境守卫出现了！,3108,6000,0,0,12389
12390,1,凝霜,秘境守卫出现了！,3004,6000,0,0,12390
12391,1,凝霜,黑暗降临了，一个新的邪恶生物出现在大地上！,3004,6000,0,0,12391
12392,1,凝霜,秘境守卫出现了！,3004,6000,0,0,12392
12393,1,凝霜,黑暗降临了，一个新的邪恶生物出现在大地上！,3004,6000,0,0,12393
12394,1,凝霜,秘境守卫出现了！,3004,6000,0,0,12394
12395,1,岩石咏唱者,秘境守卫出现了！,3101,6000,0,0,12395
12396,1,岩石咏唱者,黑暗降临了，一个新的邪恶生物出现在大地上！,3101,6000,0,0,12396
12397,1,岩石咏唱者,秘境守卫出现了！,3101,6000,0,0,12397
12398,1,岩石咏唱者,黑暗降临了，一个新的邪恶生物出现在大地上！,3101,6000,0,0,12398
12399,1,岩石咏唱者,秘境守卫出现了！,3101,6000,0,0,12399
12400,1,炼狱侍女,秘境守卫出现了！,1161,6000,0,0,12400
12401,1,炼狱侍女,黑暗降临了，一个新的邪恶生物出现在大地上！,1161,6000,0,0,12401
12402,1,炼狱侍女,秘境守卫出现了！,1161,6000,0,0,12402
