VIP等级,累计充值血钻,描述,额外宝箱上限,额外的挖矿次数上限,每天可加速冒险次数,充值奖励,每天可购买封神之阶挑战次数,每天可兑换神殿英雄次数,每天可使用加钱秘籍次数,可额外重置秘境次数
0,0,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>0 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 1</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 5 </c><c r=75 g=41 b=0> </c><n></n>,0,0,1,,0,1,5,0
1,10,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>10 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +2</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +0</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 2</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 20 </c><c r=75 g=41 b=0> </c><n></n>,2,0,2,101001;101002;101003;101004;101005,0,1,20,0
2,100,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>100 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +2</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +10</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 3</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 30 </c><c r=75 g=41 b=0> </c><n></n>,2,10,3,101022;101023;101024;101025;101026;101027;101028;101029,0,1,30,0
3,300,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>300 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +3</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +10</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 4</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天购买封神之阶挑战次数</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 40 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 激活跳过战斗功能</c><n></n>,3,10,4,101041;101042;101043;101044;101045,1,1,40,1
4,500,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>500 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +3</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +15</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 5</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=33 g=90 b=107>蓝色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天购买封神之阶挑战次数</c><c r=254 g=211 b=80> 2 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 50 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 激活跳过战斗功能</c><n></n>,3,15,5,101062;101063;101064;101065;101066;101067;101068;101069,2,1,50,1
5,1000,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>1000 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +4</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +15</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 6</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=33 g=90 b=107>蓝色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天购买封神之阶挑战次数</c><c r=254 g=211 b=80> 3 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 60 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 激活跳过战斗功能</c><n></n>,4,15,6,101081;101082;101083;101084;101085,3,1,60,1
6,2000,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>2000 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +4</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +20</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 7</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=33 g=90 b=107>蓝色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天购买封神之阶挑战次数</c><c r=254 g=211 b=80> 4 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 70 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 激活跳过战斗功能</c><n></n>,4,20,7,101102;101103;101104;101105;101106;101107;101108;101109,4,1,70,1
7,4000,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>4000 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +5</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +20</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 8</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=33 g=90 b=107>蓝色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=129 g=0 b=183>紫色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 1 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天购买封神之阶挑战次数</c><c r=254 g=211 b=80> 5 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 解锁</c><c r=254 g=211 b=80>永恒开启高级贸易队</c><c r=75 g=41 b=0>功能</c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 80 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 激活跳过战斗功能</c><n></n>,5,20,8,101121;101122;101123;101124;101125,5,1,80,1
8,8000,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>8000 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +5</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +25</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 9</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=33 g=90 b=107>蓝色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=129 g=0 b=183>紫色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 2 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天购买封神之阶挑战次数</c><c r=254 g=211 b=80> 6 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 90 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 激活跳过战斗功能</c><n></n>,5,25,9,101142;101143;101144;101145;101146;101147;101148;101149,6,2,90,1
9,12000,<c r=75 g=41 b=0> 累计充值</c><s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s><c r=254 g=211 b=80>12000 </c><c r=75 g=41 b=0>即可享受该特权</c><n></n><c r=75 g=41 b=0> 宝箱数量上限额外</c><c r=254 g=211 b=80> +6</c><n></n><c r=75 g=41 b=0> 挖矿次数上限额外</c><c r=254 g=211 b=80> +25</c><n></n><c r=75 g=41 b=0> 每天可以购买加速冒险次数</c><c r=254 g=211 b=80> 10</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=54 g=131 b=30>绿色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=33 g=90 b=107>蓝色弹幕</c><n></n> <c r=75 g=41 b=0>可免费发送</c><c r=129 g=0 b=183>紫色弹幕</c><n></n><c r=75 g=41 b=0> 每天可在神殿招募</c><c r=254 g=211 b=80> 2 </c><c r=75 g=41 b=0>个佣兵</c><n></n><c r=75 g=41 b=0> 每天购买封神之阶挑战次数</c><c r=254 g=211 b=80> 7 </c><c r=75 g=41 b=0></c><n></n><c r=75 g=41 b=0> 解锁</c><c r=254 g=211 b=80>永恒开启皇家贸易队</c><c r=75 g=41 b=0>功能</c><n></n><c r=75 g=41 b=0> 每天可使用加钱秘籍次数</c><c r=254 g=211 b=80> 100 </c><c r=75 g=41 b=0> </c><n></n><c r=75 g=41 b=0> 激活跳过战斗功能</c><n></n>,6,25,10,101161;101162;101163;101164;101165,7,2,100,2
